CostCenter,CCName
"190300","OFFICE OF MGT AMD PGM SUPPOR"
"190310","DIRECTOR IT MGMT & PROG SUPP"
"190320","PROJECT COORDINATION SERVICE"
"190330","FRONT OFFICE FOR ASST SEC OIT"
"190350","OFFICE OF CUSTOMER ADVOCACY"
"190360","OFCA SERVICE COORDINATION"
"190400","OFC OF IT BUDGET & FINANCE"
"190410","IT BUDGET & FINANCE EXEC DIR"
"190420","IT PROGRAMMING & BUDGET FORM"
"190430","DIRECTOR IT PRGM/BDGT FORM SV"
"190431","BUDGET FORMULATION"
"190440","IT FINANCIAL MGT & OVERSIGHT"
"190450","IT FIN ANALYSIS & EVAL SERVICE"
"190460","IT ORGANIZATION COSTS"
"190470","SDE RES PLNG OFC PROGRAM ANA"
"190485","VAI2 INVTN IN"
"190500","DEPUTY CIO'S -VACO USE ONLY"
"190510","PRINC DEPUTY ASST, INFO & TECH"
"190520","OFF OF CHIEF TECHNOLOGY OFFIC"
"190530","DEPUTY CIO VBA -VACO USE ONLY"
"190540","ENTERPRISE PROG MANAGEMENT"
"190541","VIRTUAL LIFETIME ELECTRONIC RE"
"190560","DEVELOPMENT SECURITY & OPS"
"190561","DEVELOPMENT SECURITY & OPS S"
"190562","DEV OPS INFO ASSURANCE"
"190563","DEV OPS TECH INTG"
"190564","DEV OPS OPS TRIAGE"
"190565","DEVSECOPS PMO"
"190570","OFFICE OF TECH INTEG"
"190600","STRATEGIC PLANNING & ANALYSIS"
"190610","STRATEGIC PLAN&ANALYSIS STAFF"
"190710","NCA SYSTEM INTEGRATION CENTE"
"190810","OIT HUMAN CAPITAL MANAGEMENT"
"190830","ORGAN DEV AND ENGAGEMENT"
"190850","CHIEF LEARNING OFFICE (CLO)"
"190870","OIT HUMAN RESCAREERDEV-AUSTI"
"190900","STATION 282 HINES"
"190910","OI&T DATA CNTR OPERATNS/HINES"
"191000","GOVERNANCE OVERSIGHT TEAM"
"191010","ADAS POLICY,PORTFOLIO OVRSIGH"
"191020","DAS ENTERP PROJECT MGMT. OFFI"
"191021","IT PROJECT MANAGEMENT SERVIC"
"191022","IT QUALITY SERVICES-VACO USE"
"191023","FRONT OFFICE -VACO USE ONLY"
