"BOC","OC","BOCDescription"
"1217","12","FSA PRGM HEALTH CARE ADM FEES"
"1218","12","FEHB VA SHARE"
"1219","12","LIV ALLOW & EDUC ASSIST"
"1220","12","MEDICARE VA SHARE"
"1221","12","*REPAYMENT STUDENT LOAN PROG"
"1222","12","FERS REGULAR VA SHARE"
"2525","25","INTEREST BACK PAY PAID BY OGAS"
"2526","25","STOR HH GOODS - AFTER 30 DAYS"
"2527","25","DEC EMER INT REP AND REFURBIS"
"2528","25","DHS SECURITY SERVICES"
"2529","25","GOODS-OTHER-SUPPLY FUND 1VA+"
"2530","25","STOR HH GOODS - FIRST 30 DAYS"
"2531","25","RELOCATION SERVICES"
"2532","25","SP GSA SVC ABOVE BASIC SLUC CH"
"2534","25","LGY MGT BROKER COMMISSIONS"
"2535","25","INTERIOR DECORATING SERVICES"
"2536","25","DEC EMERG BURIAL UNCLAIM BODY"
"2537","25","DEC EMERG NON-CLINICAL SVC"
"2538","25","DEC EMERGENCY CLINICAL SVC"
"2539","25","GENERAL COSTS ON REO PROPERITI"
"2540","25","LAUNDRY AND DRYCLEANING SERVIC"
"2541","25","LGY INCENTIVE PMTS (VBA ONLY)"
"2542","25","CLEANING&JANTORL SVC/BLDGS&OTH"
"2543","25","RECURRNG MAINTNC & REPAIR SVC"
"2544","25","MOBILE COMPUTING DEV MNT"
"2545","25","TAXES ON REO PROPERTIES"
"2546","25","REO WITHDRAWN PROPERTIES"
"2547","25"," SOLID ORGAN PROCUREMENT"
"2548","25","UTILITY PLANT OPERATIONS"
"2549","25","ROADS AND GROUNDS MAINTENANCE"
"2550","25","LOAN SALES DISCOUNTS"
"2551","25","PROSTHETIC REPAIR SERVICES"
"2552","25","PROSTHETIC CONTRACTUAL SVC"
"2553","25","MISC CONTR SVC FOR INDIGENT VE"
"2554","25","PROPERTY SALES ADJUSTMENTS"
"2555","25","CONTRACTS ASSOCIATED TRAINING"
"2556","25","REO SALES COSTS"
"2557","25","REIMB FOR MEDCARE"
"2558","25","GEN EXP-NOT TIED TO LOAN-VBA"
"2559","25","VBA INSURANCE INTERFACE"
"2211","22","DEC EMERGENCY SHIP OF BODIES"
"2220","22","OTHER SHIPMENTS"
"2224","22","OTHER SHIPMENTS-PERS PROP CAP"
"2225","22","OTHER SHIPMENTS-REAL PROP CAP"
"2226","22","OTHER SHIP-ADP NONEX EQ-CAP"
"2230","22","SHIP OF HSEHLDS & PERSNL EFFEC"
"2231","22","SHIP OF VEHICLES - PCS TRAVEL"
"2234","22","OTHER SHIPMENTS - MARKETING"
"2240","22","PARCEL POST SERVICE"
"2250","22","RENTAL OF TRUCKS FR GOVT M PL"
"2280","22","DEC EMERGENCY SHIPMENTS"
"2298","22","TRANSPORTATION - SVC DIST CTR"
"2299","22","TRANSPORT-OTH SVC DIST CTR"
"2303","23","VOICE - RECURRING COSTS"
"2307","23","DATA COMMUNICATIONS SERVICES"
"2310","23","WIRELESS SERVICES"
"2312","23","COMMUNICATIONS - OTHER"
"2560","25","MED CARE CONTRACTS & AGREEMENT"
"2561","25","FEE BASIS - PHYSICIAN SERVICES"
"2562","25","OFF-STATION FEE MED & NRSING"
"2563","25","ENHANCED SHARING NURSING"
"2564","25","FEE BASIS NURSING STN ONLY"
"2565","25","AUDIT RECOVERY TRANSACTIONS"
"2566","25","FEE BASIS NON PHY&NURS STN USE"
"2567","25","ENHANCED SHARING OTH HLTH CARE"
"2568","25","ENHANCED SHARING SPACE"
"2569","25","EMERGENCY TREATMENT OF VETERAN"
"2570","25","OFF-STATION FEE DENTAL SERVICE"
"2571","25","ON STA FEE DENTAL SERVICE"
"2572","25","SVC PURCH OR SOLD -VHS&RA SCRC"
"2573","25","SVC PUR/SOLD SPCL -VHA RES CTR"
"2574","25","HOME OXYGEN-CONTRCTL AGREEMTS"
"2575","25","OTHER CONTRACT HOSPITALIZATION"
"2576","25","CONSULTANTS AND ATTENDINGS"
"2577","25","REP ALLOW-MANILA-3010,CO-1101"
"2578","25","OFFICAL RESIDENCE ALLOW-MANILA"
"2579","25","SCARCE MEDICAL SPECIALIST CONT"
"2580","25","NON-MED CONTRACT & AGREEMENTS"
"2581","25","CONTRACTS & AGRMTS-INDIVIDUALS"
"2582","25","INCENTIVE THERAPY"
"2583","25","CONT & AGRMT-TUIT & REG (GOVT)"
"2584","25","CONT & AGRMT-TUIT & REG (COMM)"
"2585","25","COLLEGE WORK-STUDY PROGRAM"
"2586","25","SHARING MED RESOURCE-38USC5051"
"2587","25","HOUSE STAFF CONTRACTS"
"2588","25","LGY TAX SCRUB FEES"
"2589","25","COMPENSATED WORK THERAPY"
"2590","25","VA/DOD SHARING AGRMT-38USC5011"
"2591","25","ENHANCED SHARING NONVA PHYSIAN"
"2592","25","ENHANCED SHARING CLINICAL"
"2593","25","OFFSET/COLLECTION FEE"
"2594","25","C & P MEDICAL EXAMINATIONS"
"2595","25","ED & TRNG RPTG ALLW 38USC3684"
"2596","25","CONTRACT & STATE APP AGENCIES"
"2597","25","BURIAL COSTS-UNCLAIMED BODIES"
"2598","25","CONTRACT HOSP & OUTPATIENT TRT"
"2599","25","DEPRECIATION CHARGES"
"2610","26","FOOD"
"2620","26","OFFICE SUPPLIES"
"2623","26","RECORDING MEDIA"
"2625","26","MEDICAL, IT SUPPLIES IC&MAT"
"2631","26","DRUGS, MEDICINES & CHEM SUPPLY"
"2632","26","OTH MEDICAL AND DENTAL SUPPLY"
"2633","26","CHEMICAL SUPPLIES"
"2634","26","SUPPLIES & MATERIAL- MARKETING"
"2635","26","BLOOD AND BLOOD PRODUCTS"
"2636","26","PRESCRIPTIONS"
"2637","26","DEC EMERGENCY HUMANITARIAN SUP"
"1018","10","DIETITIAN"
"1019","10","DIETETIC TECHNICIAN"
"1020","10","SOCIAL WORKER"
"1021","10","SOCIAL WORKER AIDES AND TECHNICIANS"
"1022","10","RADIOLOGY TECHNOLOGIST"
"1023","10","RADIOLOGY TECHNICIAN"
"1024","10","PHARMACISTS"
